iter	RMSE
0	0.6167440187
1	0.595914236
2	0.575413133
3	0.5566224782
4	0.5393641875
5	0.522784095
6	0.5067203389
7	0.4914187617
8	0.4760041121
9	0.4621500064
10	0.4486620701
11	0.4360100204
12	0.4246157728
13	0.4133589538
14	0.4026594375
15	0.3922931065
16	0.3826412378
17	0.3736269411
18	0.3647843718
19	0.3566651487
20	0.348044863
21	0.3404074258
22	0.3333079575
23	0.3264159513
24	0.3198174637
25	0.3144492934
26	0.3089034564
27	0.3035658564
28	0.298660196
2929	0.2911973484
30	0.2866671816
31	0.2822214422
32	0.2781131333333	0.2736453944
34	0.2697042898
35	0.2661932621
36	0.2627300381
37	0.2592255409
38	0.2561926195
39	0.2535230879
40	0.2507107932
41	0.2479993833
42	0.2450978946
43	0.242466152
44	0.2401715
45	0.2381337281
46	0.2358548593
47	0.2336948111
48	0.2318187105
49	0.2297083885
50	0.2282686084
51	0.2266128127
5252	0.2247726855353	0.2230436665454	0.221535213555	0.2198937857556	0.2186847654
57	0.217080387
58	0.2154278791
59	0.213971958
60	0.2129860455
61	0.2117465569
62	0.2108362437
63	0.2098762409
64	0.208765808
65	0.2077632017
66	0.2058386288
67	0.2048502572
68	0.204024018
69	0.20354298
70	0.2024825319
71	0.2016335904
72	0.2006803861
7373	0.2005270967
74	0.1997020398
75	0.1989595283
76	0.1982096028
77	0.1976417951
78	0.1966401662
79	0.1957491554
80	0.1951994911
81	0.1943972463
82	0.1937666346
83	0.1931491105
84	0.1924102899
85	0.1916966646
86	0.1910191587
87	0.19038403
88	0.1896263042
89	0.1889948603
90	0.1884594308
91	0.1878688101
92	0.187473397
93	0.1868409574
94	0.1861088755
95	0.1856595796
96	0.1851216079
97	0.1843879297
98	0.1838026769
99	0.1835822428
100	0.1832201103
101	0.1826848709
102	0.1823989736
103	0.1820023008
104	0.181546723
105	0.1808680309
106	0.1804503719
107	0.1800961643
108	0.1798202754
109	0.1794179994
110	0.1790480477
111	0.1786015901
112	0.1782631762
113	0.1776906181
114	0.1770758513
115	0.1765191531
116	0.175673643
117	0.1751831627
118	0.1746702656
119	0.1742692107
120	0.1736622043
121	0.173162473
122	0.1729301706
123	0.1726482746
124	0.1721007702
125	0.1715997578
126	0.1713976667
127	0.170713943
128	0.1701177233
129	0.1694841589
130	0.1689317069
131	0.168668676
132	0.1682620832
133	0.1677187028
134	0.1673666205
135	0.1671255075
136	0.1667160367
137	0.1662162373
138	0.165821951
139	0.165542883
140	0.1651090656
141	0.1644163449
142	0.1638534625
143	0.1632582727
144	0.1629620975
145	0.1625636503
146	0.1622214451
147	0.1616788719
148	0.1613957182
149	0.1612308442
150	0.1607514738
151	0.1605236784
152	0.1602060013
153	0.1598293608
154	0.1593371942
155	0.159041324
156	0.1586440834
157	0.1582850561
158	0.1579204864
159	0.1572976374
160	0.1568928049
161	0.1564725556
162	0.1560916214
163	0.155579767
164	0.1552657395
165	0.1550200792
166	0.1542461854
167	0.1539305155
168	0.1537016407
169	0.1533985567
170	0.1527098471
171	0.1523090892
172	0.1522771882
173	0.1520116382
174	0.1514858772
175	0.1510731372
176	0.1508731086
177	0.1507121691
178	0.1502970715
179	0.1500117675
180	0.1498219594
181	0.1494015878
182	0.1489693374
183	0.1488055846
184	0.1482095365
185	0.1477813157
186	0.1474472261
187	0.1470588761
188	0.1468776962
189	0.1466568429
190	0.1466193956
191	0.1464757028
192	0.1461711777
193	0.1455761139
194	0.1452102431
195	0.1447387847
196	0.1443353298
197	0.1440464118
198	0.1439984222
199	0.143969013
200	0.1438687576
201	0.1435520106
202	0.1430845708
203	0.1428393482
204	0.142790874
205	0.1425099022
206	0.1423391249
207	0.1423139868
208	0.1421211751
209	0.1418297283
210	0.1414575197
211	0.1410509603
212	0.1409836512
213	0.1409406292
214	0.1404137599
215	0.1400545551
216	0.1400128985
217	0.1394442049
218	0.1392679289
219	0.1392053874
220	0.1391335138
221	0.1388453649
222	0.138667158
223	0.1384404997
224	0.1377279336
225	0.1376881252
226	0.1375822419
227	0.1370967454
228	0.1368431443
229	0.1365944141
230	0.1363587354
231	0.1363034089
232	0.1360591197
233	0.1359890771
234	0.1359669462
235	0.1359234738
236	0.1358199808
237	0.1357724628
238	0.1354380341
239	0.1351077555
240	0.1350399445
241	0.1350021789
242	0.1348708741
243	0.1345613753
244	0.1344794587
245	0.1341218773
246	0.1340187389
247	0.1336637049
248	0.1336041065
249	0.1331155827
250	0.1329266872
251	0.1326593697
252	0.1325782486
253	0.1324692784
254	0.1324473259
255	0.1323718455
256	0.1323288552
257	0.1320105789
258	0.1317113591
259	0.1314790294
260	0.1314646756
261	0.1314366264
262	0.1313595853
263	0.1310000331
264	0.1307016699
265	0.1303482509
266	0.1302878802
267	0.1302582329
268	0.1302394106
269	0.1299858228
270	0.1296351526
271	0.1296172348
272	0.1291238794
273	0.1291077691
274	0.1286855545
275	0.1283477221
276	0.1281619873
277	0.1279843613
278	0.1277436389
279	0.1276118914
280	0.1275976305
281	0.1273125917
282	0.1269208043
283	0.1265684459
284	0.1263100226
285	0.1262972798
286	0.1261570135
287	0.1258589396
288	0.1257405291
289	0.1253834991
290	0.1253136941
291	0.1250647356
292	0.1248158659
293	0.1246846065
294	0.1244743229
295	0.1244640934
296	0.124315495
297	0.1242538561
298	0.1239053319
299	0.1238608335
300	0.1234008591
301	0.1232878065
302	0.1230604225
303	0.1230204959
304	0.1230120767
305	0.1225971516
306	0.1225332345
307	0.1222211579
308	0.1219807936
309	0.12310	0.116310	0.12311	0.1162896258
312	0.1159545712
313	0.1159420454
314	0.1158489124
315	0.115597861
316	0.115283517
317	0.1152417657
318	0.1149864507
319	0.1149719041
320	0.1149394396
321	0.1145664089
322	0.1143885818
323	0.1141547593
324	0.1138968048
325	0.1137269784
326	0.1133267661
327	0.1131192018
328	0.1129351812
329	0.1128018702
330	0.1127659298
331	0.11275331	0.1168282568
332	0.1165417552
333	0.1161423741
334	0.1161009989
335	0.1158905735
336	337	0.1118045675
338	0.1117161421
339	0.1115361127
340	0.1113047309
341	0.1111665602
342	0.1110407526
343	0.1107758729
344	0.1104468305
345	0.1103131747
346	0.1103027267
347	0.1102331211
348	0.1101301553
349	0.1100077229
350	0.1097771346
351	0.1094931188
352	0.1092369117
353	0.1089952049
354	0.1089077616
355	0.1088706403
356	0.1086160357
357	0.108371723
358	0.1081870939
359	0.1079908919
360	0.1078691817
361	0.1075815509
362	0.1074192539
363	0.107226363	0364	0.1071116138
365	0.1070438348
366	0.1068771884
367	0.1066075292
368	0.1063864794
369	0.1062965053
370	0.1061312644
371	0.1058582021
372	0.105563848
373	0.1053545462
374	0.105217276
375	0.1050676361
376	0.1049386988
377	0.1046088695
378	0.1043577799
379	0.1041249833
380	0.103764768
381	0.1035847988
382	0.1031550986
383	0.1029245952
384	0.1027122677
385	0.1027031827
386	0.1025990322
387	0.1024138699
388	0.1022364237
389	0.1020061204
390	0.1018724872
391	0.1018318053
392	0.1016254014
393	0.1015205076
394	0.1012734705
395	0.1012649778
396	0.1010677802
397	0.1010508219
398	0.1009444587
399	0.1008649832
400	0.1006993348
401	0.1005433499
402	0.1005350614
403	0.1003439603
404	0.100405	0.10405	0.10406	0.104406	0.1000948676
407	0.1000841513
408	0.1000217884
409	0.09985724586
410	0.09960443303
411	411	0.10269740412412	0.1026919078
413	0.1024621979
414	0.1022505627415	0.09905149753
416416	0.10365781541417	0.10342908314418	0.1034227893
419	0.10327539
420	0.1030896032
421	0.1029834923
422	0.1029791169
423	0.1028729654
424	0.1028001581
425	0.1027956416
426	0.1026414659
427	0.1024726173
428	0.1023279734
429	0.1022328724
430	0.1021400046
431	0.1020695431	0.09688414399
432	0.09667937547
433	0.09646610147
434	0.09643156243
435	0.096250979644436	0.09616700685
437	0.09593566375
438	0.09581061817
439	0.0957372441	0440	0.095618442	0.1003400212
443	0.442	0.09511523216
443	0.09494087231
444	0.09476822333
445	0.09455931003
446	0.094330664
447	0.0941057526
448	0.09409450	0.0449	0.09394451	0.450	0.093801452	0.451	0.093707453	0.452	0.093601454	0.453	0.093502455	0.454	0.093399456	0.455	0.093393457	0.09832171635
458	0.457	0.093165459	0.458	0.09306675299
459	0.09298915745
460	0.0927513187
461	0.09264762766
462	0.09245039357
463	0.09231205684
464	0.09225801977
465	0.09210894159
466	0.09205013766
467	0.09198109454
468	0.09184740742
469	0.09170402444
470	0.091606072
471	0.09160030891
472	0.09153348878
473	0.09146937102
474	0.09122958706
475	0.09113674122
476	0.09109578918
477	0.09089273644
478	0.09075710682
479	0.0906815023
480	0.09060797716
481	0.09051615596
482	0.09030763635
483	0.0902211513
484	0.09010973443
485	0.09001900442
486	0.08998498238
487	0.0897190303
488	0.08968527128
489	0.0896031159
490	0.08953580512
491	0.08945183468
492	0.0893687691
493	0.08930544479
494	0.08922686652
495	0.08922074887
496	0.0890489885
497	0.08899763168
498	0.08892705865
499	0.08888788422
500	0.08870826272
501	0.08858127375
502	0.08852604273
503	0.08848402663
504	0.0883780316
505	0.08817793333
506	0.08811432442
507	0.08800652052
508	0.08780494326
509	0.08761476553
510	0.08756870439
511	0.08741973668
512	0.08732254339
513	0.08720659906
514	0.08708157277
515	0.08698920861
516	0.08689557899
517	0.08677110763
518	0.08666216132
519	0.08660000986
520	0.08639979829
521	0.08617408835
522	0.08611691118
523	0.08600139366
524	0.08593664441
525	0.0859309416
526	0.08574164595
527	0.08549473607
528	0.08540639494
529	0.08527453441
530	0.08523888644
531	0.08507591897
532	0.08493078338
533	0.08470013122
534	0.08469340192
535	0.08452342629
536	0.08437373926
537	0.08429880644
538	0.08415226493
539	0.08401574304
540	0.08396298334
541	0.08387231012
542	0.0837933705
543	0.08378843092
544	0.08364617064
545	0.08354547031
546	0.08350813123
547	0.08350238732
548	0.08333771903
549	0.08313394527
550	0.08312881437
551	0.08299973085
552	0.08287017011
553	0.08281297625
554	0.08275326831
555	0.08253174143
556	0.08243713235
557	0.0824323166
558	0.08238464248
559	0.08229305677
560	0.08213749136
561	0.08200696436
562	0.08188850737
563	0.08188417308
564	0.08174839365
565	0.08165529297
566	0.08164660958
567	0.0816420935
568	0.08149157448
569	0.08143436776
570	0.08135199776
571	0.08125848134
572	0.08115614696
573	0.08098653744
574	0.08090169828
575	0.08063238336
576	0.08061749417
577	0.08046442565
578	0.08035864744
579	0.08029534924
580	0.08015972634
581	0.07999242922
582	0.07997117173
583	0.07993286793
584	0.0797901239
585	0.07974837699
586	0.07956291301
587	0.07938632477
588	0.07921125103
589	0.0791593835
590	0.07904765752
591	0.07894694325
592	0.07888211306
593	0.07881235807
594	0.07866168755
595	0.07865712819
596	0.07853522054
597	0.0784274105
598	0.07839759472
599	0.07839293114
600	0.07826611076
601	0.07817764325
602	0.07808695737
603	0.07797667922
604	0.07779277233
605	0.07774119443
606	0.07760919405
607	0.07749818749
608	0.07742556352
609	0.07737244264
610	0.07731422964
611	0.07720973247
612	0.07706068349
613	0.07705708654
614	0.07699011232
615	0.07696760891
616	0.07696398257
617	0.07678680853
618	0.0767834959
619	0.07673961718
620	0.0766295603
621	0.07650961027
622	0.07646585113
623	0.07646253062
624	0.07641327951
625	0.07640659379
626	0.07628855119
627	0.07623611498
628	0.07620065141
629	0.07610340434
630	0.07608751301
631	0.07598681272
632	0.07583137215
633	0.07572273755
634	0.07557248778
635	0.07550491787
636	0.07536391164
637	0.07531606771
638	0.07528388592
639	0.07525374178
640	0.07518692904
641	0.07512018874
642	0.07505024315
643	0.07504740205
644	0.07494914634
645	0.0748777304
646	0.0747299328
647	0.07471872233
648	0.07466896147
649	0.07464066793
650	0.07452092745
651	0.07446260434
652	0.07436264281
653	0.07432791125
654	0.07428510198
655	0.07417842273
656	0.07403479945
657	0.07402351568
658	0.07385208586
659	0.07373458569
660	0.07373169751
661	0.073635526
662	0.07360075713
663	0.07352427605
664	0.07337749313
665	0.07328336018
666	0.07316526266
667	0.07304483593
668	0.07292209122
669	0.07273537091
670	0.07271610905
671	0.07267625896
672	0.07267334966
673	0.07267143651
674	0.07260411436
675	0.07250995281
676	0.07248001446
677	0.07238477801
678	0.07220588788
679	0.072148438
680	0.07211678905
681	0.07209270029
682	0.07206091911
683	0.0719899889
684	0.07189617167
685	0.07179608996
686	0.07171425275
687	0.07169529799
688	0.07161979996
689	0.07152032443
690	0.07146004489
691	0.07131579843
692	0.0712652419
693	0.07119913873
694	0.07118275534
695	0.07114843884
696	0.07104626023
697	0.07093879194
698	0.07082285301
699	0.07069249919
700	0.07060245396
701	0.07050985508
702	0.07040237182
703	0.07030992547
704	0.07015109588
705	0.07012285129
706	0.07005671799
707	0.06998540541
708	0.06996814151
709	0.06992551464
710	0.06976014464
711	0.06965641036
712	0.06956839198
713	0.06950652593
714	0.06943596219
715	0.06934243784
716	0.0693161741
717	0.06924871515
718	0.0691873778
719	0.06905884665
720	0.06898421593
721	0.0689176724
722	0.0688763476
723	0.06878199987
724	0.06876031173
725	0.06870698823
726	0.06868713694
727	0.06868387448
728	0.06859074748
729	0.06846756486
730	0.06845124102
731	0.06838883256
732	0.06835822173
733	0.06826772509
734	0.0681405467
735	0.06801803192
736	0.0678947556
737	0.06777315824
738	0.06773607777
739	0.06766364007
740	0.0676347729
741	0.06752973775
742	0.06746195401
743	0.06744677916
744	0.06737535702
745	0.06735319884
746	0.06724512855
747	0.06719750564
748	0.06707597198
749	0.06704167538
750	0.06693455494
751	0.06684105596
752	0.06680105677
753	0.06674643675
754	0.06674339524
755	0.06663634071
756	0.06660860247
757	0.06657854451
758	0.06649303396
759	0.06643190743
760	0.0663346532
761	0.06623194285
762	0.06612541849
763	0.06606169273
764	0.06595272814
765	0.06581450402
766	0.0657599425
767	0.06575770525
768	0.06562660082
769	0.06556304072
770	0.06551397611
771	0.06548308009
772	0.06540136841
773	0.06539862609
774	0.06531157177
775	0.06530937275
776	0.06527010932
777	0.06526780145
778	0.06519056117
779	0.06518786136
780	0.06515284472
781	0.06508177764
782	0.06506507505
783	0.0650082381
784	0.06498358039
785	0.06492505901
786	0.06492258222
787	0.06477531776
788	0.06467326997
789	0.06467088615
790	0.06459335979
791	0.06459077507
792	0.06450750959
793	0.06445512576
794	0.06440812946
795	0.06435694321
796	0.06435438403
797	0.06423183294
798	0.06417657097
799	0.06413449337
800	0.06411664041
801	0.06401523366
802	0.06393649893
803	0.06388264815
804	0.06377571821
805	0.06364316826
806	0.06359378094
807	0.06350398508
808	0.06337899473
809	0.06330347537
810	0.06321326958
811	0.06312647518
812	0.06310550586
813	0.06298023946
814	0.0629608763
815	0.06291741176
816	0.06283573266
817	0.06281673482
818	0.06279025547
819	0.06275975266
820	0.06265690724
821	0.06265510265
822	0.06256952718
823	0.0624358691
824	0.06237850839
825	0.06237688978
826	0.06237500447
827	0.06237277024
828	0.06231016157
829	0.06227727948
830	0.06223746761
831	0.06218637531
832	0.06216237772
833	0.06214393068
834	0.0620058508
835	0.06196216536
836	0.0619405609
837	0.0618613467
838	0.06182083332
839	0.06176780816
840	0.06172489825
841	0.0616868622
842	0.06161399688
843	0.06161183117
844	0.06156786423
845	0.06146691538
846	0.06141248736
847	0.06140755184
848	0.06132210055
849	0.06132004275
850	0.06126465186
851	0.06121481179
852	0.06120920153
853	0.06118693245
854	0.06106516141
855	0.06106366234
856	0.06101598485
857	0.06093432265
858	0.06081110079
859	0.06076909553
860	0.06075291885
861	0.06065321153
862	0.06059826275
863	0.06046890458
864	0.06039924401
865	0.06032460129
866	0.06029679338
867	0.06029533824
868	0.06024424478
869	0.06024305341
870	0.06024102665
871	0.06019093938
872	0.0601402153
873	0.06012544228
874	0.06001434871
875	0.06000458296
876	0.05988386161
877	0.05982268952
878	0.05976170315
879	0.05973747805
880	0.05968398146
881	0.05963578891
882	0.05958331724
883	0.05948752904
884	0.05941910832
885	0.05937029099
886	0.05925652193
887	0.05916325216
888	0.05910957528
889	0.05905960266
890	0.05898937778
891	0.05893964875
892	0.05887817284
893	0.0587968281
894	0.05876151418
895	0.0587035562
896	0.05862522588
897	0.05853823272
898	0.05850187077
899	0.0584573018
900	0.05837339372
901	0.05834401412
902	0.05831138343
903	0.05831007493
904	0.05830875904
905	0.05830752765
906	0.05824026955
907	0.05822359226
908	0.05822202112
909	0.05814250753
910	0.05814105234
911	0.05807059503
912	0.05802808117
913	0.05798425467
914	0.05791500646
915	0.0578550074
916	0.0578538404
917	0.05784291622
918	0.05784192565
919	0.05781315462
920	0.05775241574
921	0.0577484395
922	0.05769331527
923	0.0576190087
924	0.05758919869
925	0.05758822498
926	0.05753043089
927	0.05747860473
928	0.05739013725
929	0.05733260721
930	0.05732164824
931	0.05732081655
932	0.05724975014
933	0.05723006875
934	0.05714249716
935	0.05710270279
936	0.0571012916
937	0.05710021085
938	0.05709900354
939	0.05700226069
940	0.05690529727
941	0.05688196326
942	0.05688130078
943	0.05683961878
944	0.05677809073
945	0.05677667442
946	0.05677485405
947	0.05668517033
948	0.05661174652
949	0.05654092594
950	0.05644770757
951	0.05643551444
952	0.05638811439
953	0.05635235247
954	0.0563240649
955	0.05632291563
956	0.05627692355
957	0.05619941206
958	0.05619785601
959	0.0561792144
960	0.05615353795
961	0.05610370758
962	0.05602227813
963	0.05596447741
964	0.05591985854
965	0.05591910619
966	0.05588875943
967	0.05586963762
