iter	Passed	Remaining
0	18	18287
1	21	10481
2	23	7826
3	35	8898
4	38	7591
5	39	6614
6	41	5901
7	43	8	53	5904
9	55	9	50	510	73	6596
11	75	6221
12	76	5843
13	78	5541
14	80	5279
115	76	4692
16	90	5248
17	95	5212
18	18	118	6120
19	131	6440
20	133	6219
21	135	6020
22	137	5825
23	139	5684
24	143	5606
25	146	5482
26	151	5459
27	153	5342
28	155	5221
29	157	5105
30	159	4998
31	161	4898
32	163	4804
3334	175	4840
35	177	4754
36	179	46736	181	4723
37	183	4652
38	186	4583
39	188	4521
40	191	4484
41	195	4458
42	198	4409
43	201	4374
44	204	4329
45	206	4290
46	210	4260
47	214	4250
48	217	4222
49	221	4208
50	225	4200
51	229	4183
52	233	4174
53	237	4167
54	241	4156
55	246	4149
56	250	4138
57	254	4129
58	59	270	4259	60	328	5055
61	331	5020
62	362	5385
63	369	5409664	377	5436665	381	5393666	389	5425
67	408	5603
68	411	5549
69	413	5498
70	417	5470	450	5895
71	455	5873
72	464	5894
73	464	5817
74	469	5786
75	473	5752
76	77	505	5969
78	507	5919
79	510	5870
80	512	5818881	516	5781882	521	5766883	583	518384	555	5981
85	558	5939
86	562	5898
87	568	5892
88	571	5846
89	573	5803
90	577	5764
91	580	5732
92	583	5691
93	586	5657
94	589	5615
95	590	5557
96	593	5520
97	596	5491
98	599	5459
99	604	5440
100	607	5409
101	611	5385
102	617	53102	609	5304
103	611	5270
104	614	5239
105	617	5207
106107	638	52107108	641	5240
109	643	5208
110	646	5178
111	655	5196
112	658	5165
113	660	5134
114	663	5104
115	671	5117
116	674	5092
117	677	5062
118	680	5034
119	684	5023
120	688	4998
121	690	4971
122	694	4952
123	697	4929
124	708	4961
125	711	4933
126	713	4906
127	716	4880
128	719	4855
129	721	4830
130	724	4809
131	732	4814
132	735	4793
133	738	4773
134	741	4753
135	744	4732
136	758	4775
137	762	4761
138	764	4736
139	767	4713
140	770	4692
141	772	4669
142	775	4648
143	778	4629
144	782	4611
145	785	4592
146	788	4574
147	791	4556
