Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,CPU_speed,CPU_core,Resolution_X,Resolution_Y,Pixel_Count,SSD,HDD,GPU_brand,Company_match,avg_brand_spec_rating
apple,ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,intel iris plus graphics 640,macos,1.37,71378.6832,2.3,i5,2560.0,1600.0,4096000.0,128.0,0.0,intel,apple,66.75
apple,ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,intel hd graphics 6000,macos,1.34,47895.5232,1.8,i5,1440.0,900.0,1296000.0,0.0,0.0,intel,apple,66.75
hp,notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,intel hd graphics 620,no os,1.86,30636.0,2.5,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,hp,69.42537313432835
apple,ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,amd radeon pro 455,macos,1.83,135195.336,2.7,i7,2880.0,1800.0,5184000.0,512.0,0.0,amd,apple,66.75
apple,ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,intel iris plus graphics 650,macos,1.37,96095.808,3.1,i5,2560.0,1600.0,4096000.0,256.0,0.0,intel,apple,66.75
acer,notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,amd radeon r5,windows 10,2.1,21312.0,3.0,amd_a9,1366.0,768.0,1049088.0,0.0,500.0,amd,acer,68.36734693877551
apple,ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,intel iris pro graphics,mac os x,2.04,114017.6016,2.2,i7,2880.0,1800.0,5184000.0,0.0,0.0,intel,apple,66.75
apple,ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,intel hd graphics 6000,macos,1.34,61735.536,1.8,i5,1440.0,900.0,1296000.0,0.0,0.0,intel,apple,66.75
asus,ultrabook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,nvidia geforce mx150,windows 10,1.3,79653.6,1.8,i7,1920.0,1080.0,2073600.0,512.0,0.0,nvidia,asus,69.58407079646018
acer,ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,intel uhd graphics 620,windows 10,1.6,41025.6,1.6,i5,1920.0,1080.0,2073600.0,256.0,0.0,intel,acer,68.36734693877551
hp,notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,intel hd graphics 620,no os,1.86,20986.992,2.5,i5,1366.0,768.0,1049088.0,0.0,500.0,intel,hp,69.42537313432835
hp,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,intel hd graphics 520,no os,1.86,18381.0672,2.0,i3,1920.0,1080.0,2073600.0,0.0,500.0,intel,hp,69.42537313432835
apple,ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,amd radeon pro 555,macos,1.83,130001.6016,2.8,i7,2880.0,1800.0,5184000.0,256.0,0.0,amd,apple,66.75
dell,notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,amd radeon r5 m430,windows 10,2.2,26581.392,2.0,i3,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
apple,ultrabook,12,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,intel hd graphics 615,macos,0.92,67260.672,1.2,other,2304.0,1440.0,3317760.0,256.0,0.0,intel,apple,66.75
apple,ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,intel iris plus graphics 640,macos,1.37,80908.344,2.3,i5,2560.0,1600.0,4096000.0,256.0,0.0,intel,apple,66.75
dell,notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,amd radeon r5 m430,windows 10,2.2,39693.6,2.7,i7,1920.0,1080.0,2073600.0,256.0,0.0,amd,dell,68.87931034482759
apple,ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,amd radeon pro 560,macos,1.83,152274.24,2.9,i7,2880.0,1800.0,5184000.0,512.0,0.0,amd,apple,66.75
lenovo,notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,nvidia geforce 940mx,no os,2.2,26586.72,2.4,i3,1920.0,1080.0,2073600.0,0.0,1024.0,nvidia,lenovo,68.06611570247934
dell,ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB SSD,intel uhd graphics 620,windows 10,1.22,52161.12,1.6,i5,1920.0,1080.0,2073600.0,128.0,0.0,intel,dell,68.87931034482759
