iter	RMSE
0	0.615084827
1	0.5934421284
2	0.5738906993
3	0.5546373971
4	0.5367512482
5	0.5210529036
6	0.5039308792
7	0.4898091322
8	0.4762357507
9	0.4616852072
10	0.4476082968
11	0.4353212134
12	0.4244847277
13	0.4129772048
14	0.4018467364
15	0.3924352598
16	0.3832997281
17	0.3742950551
18	0.3661186091
19	0.3575779465
20	0.3492448808
21	0.3416900565
22	0.3354761177
23	0.3288799881
24	0.32298390225	0.3170748548
26	0.3125310352
27	0.3072542657
28	0.3024956451
29	0.2975825925
30	0.2934243237
31	0.2892848202
32	0.2855364179
33	0.2824960153
34	0.2786152328
35	0.2756049629
36	0.2724038348
37	0.269476025
38	0.2668983302
39	0.2644393993
40	0.2617662489
41	0.2553921333
42	0.2527394116
43	0.2499374304
44	0.2472638214
45	0.2446769472
46	0.2487828784
47	0.2411407172
48	0.2391571269
49	0.236688994
50	0.2348515935
51	0.2332494756
52	0.2317975649
53	0.2302923355
54	0.2288428816
55	0.2275383263
56	0.2260072774
57	0.2249034908
58	0.2237893667
59	0.2225787834
60	0.2216688546
61	0.2203214951
62	0.2195138382
63	0.2186196026
64	0.217713939
65	0.2167750133
66	0.2159359756
67	0.2147442905
68	0.213969	0.2190994959
70	0.270	0.2124455226
71	0.2112783284
72	0.2105094482
73	0.2096083196
74	0.2087480191
75	0.207565906
76	0.2071034457
77	0.2062764651
78	0.2053535199
79	0.2047867958
80	0.2042878951
81	0.2035923939
82	0.2029221475
83	0.2023586205
84	0.2018289405
85	0.2007720004
86	0.2001638965
87	0.1996482814
88	0.1990026836
89	0.1987187073
90	0.1981635422
91	0.197610161
92	0.1973187311
93	0.196827541
94	0.1963669198
95	0.1959172996
96	0.1953284126
97	0.1949043317
98	0.1944066646
99	0.1941043585
100	0.1935173801
101	0.1931198845
102	0.1926142087
103	0.192244937
104	0.1917298896
105	0.1911219914
106	0.1907663268
107	0.1902854896
108	0.1899781833
109	0.1894276555
110	0.1891511006
111	0.1887290835
112	0.1885064328
113	0.1882682308
114	0.1877832229
115	0.1873734856
116	0.1869104891
117	0.1864947367
118	0.1861760306
119	0.1856203991
120	0.1852385351
121	0.1848916206
122	0.1847061626
123	0.1843076996
124	0.1840203265
125	0.1838255142
126	0.183560371
127	0.183079391
128	0.182653294
129	0.1822918893
130	0.18200560131	0.1890350947
132	0.1888223671
133	0.1886123038
134	0.188419909
135	0.1882371574
136	0.1876717801
137	0.1871258084
138	0.1867820737
139	0.1864954806
140	0.1862579927
141	0.1859361547
142	0.1857460936
143	0.1854755887
144	0.1852518776
145	0.1849323895
146	0.1773262652
147	0.1771934503
148	0.1768469762
149	0.1764286069
150	0.176155763
151	0.1758867689
152	0.1757039358
153	0.1753986138
154	0.1748016397
155	0.1743724273
156	0.1740283329
157	0.1735187259
158	0.173279877
159	0.1730964627
160	0.1729616755
161	0.1728397994
162	0.1727152919
163	0.1725537364
164	0.1720892936
165	0.1720360442
166	0.1717097566
167	0.1716396297
168	0.1715237855
169	0.1711256423
170	0.1707771363
171	0.1707012419
172	0.1706385436
173	0.1706019424
174	0.1701750651
175	0.1699224818
176	0.1698151518
177	0.1693426419
178	0.1693068273
179	0.1692469895
180	0.1689719099
181	0.1686628377
182	0.1683875004
183	0.1681560808
184	0.1676550509
185	0.1673706483
186	0.1669763865
187	0.1663212674
188	0.1660376315
189	0.1656767286
190	0.1656544849
191	0.1655335741
192	0.1654925556
193	0.1649661961
194	0.16460848
195	0.1645696965
196	0.1645421841
197	0.1643132911
198	0.1642878514
199	0.1638062469
200	0.1635974491
201	0.1632522081
202	0.1628108983
203	0.1625780912
204	0.1625040215
205	0.1620776759
206	0.1619628846
207	0.1616962648
208	0.1613978207
209	0.1612252221
210	0.161188211	0.1562148363
212	0.155770664
213	0.1552838958
214	0.1548024553
215	0.1545976281
216	0.1542773107
217	0.1541271419
218	0218	0.1593082903
219	0.1592768535
220	0.1592514131
221	0.1590774127
222	0.15905361223223	0.1590343134
224	0.158980479
225	0.1589517017
226	0.1588324086
227	0.1588049822
228	0.158778509
229	0.1587363678
230	0.1583652259
231	0.1583490822
232	0.1577945677
233	0.157578306
234	0.1575508603
235	0.1573365559
236	0.1573189437
237	0.1568763605
238	0.1568073875
239	0.1566291919
240	0.1565691054
241	0.1565172632
242	0.1560782942
243	0.1560592434
244	0.1560010836
245	0.1556631064
246	0.1552119894
247	0.1548854668
248	0.1545310546
249	0.1545036259
250	0.1544794936
251	0.1544187998
252	0.1541019241
253	0.1538458544
254	0.1538268636
255	0.1537113181
256	0.153599907
257	0.1535067462
258	0.1530480792
259	0.1525823976
260	0.1520218514
261	0.1519583494
262	0.1519244704
263	0.1516285659
264	0.1513926482
265	0.151046462
266	0.1506983283
267	0.1502278899
268	0.1500855366
269	0.1500722756
270	0.1497681427
271	0.1495314558
272	0.149518617
273	0.149112732
274	0.1488409884
275	0.1487364101
276	0.1483741907
277	0.147950155
278	0.1477083766
279	0.1475581478
280	0.1472437022
281	0.1467560267
282	0.1466554665
283	0.1465873375
284	0.1462988891
285	0.1459619558
286	0.1459488585
287	0.1459299808
288	0.1455018866
289	0.1454896555
290	0.1454778103
291	0.1452429642
292	0.144991486
293	0.1447041986
294	0.1444466424
295	0.1444038057296	0.1495431288
2297	0.143892487
298	0.1435467262
299	0.1433502435
300	0.1429787926
301	0.1427384763
302	0.1425500203
303	0.142163624
304	0.1421429696
305	0.1421336009
306	0.1419164291
307	0.1417075772
308	0.1416968635
309	0.1414579845
310	0.1413163266
311	0.1413059573
312	0.1412959079
313	0.1411344861
314	0.1411124726
315	0.1411029043
316	0.1409877071
317	0.1406599968
318	0.1403337397
319	0.1400173514
320	0.1397611133
321	0.1395050726
322	0.139441609
323	0.1393697743
324	0.13918714
325	0.1389651732
326	0.1387822727
327	0.1386029496
328	0.1384411948
329	0.1384320704
330	0.1383094221
331	0.138050234
332	0.1378474746
333	0.137833518
334	0.1375641206
335	0.1374446712
336	0.1372569302
337	0.136956466
338	0.1368728493
339	0.1364255503
340	0.1361284466
341	0.135922918
342	0.1357851055
343	0.1356235797
344	0.1354351938
345	0.1352867527
346	0.1351683568
347	0.1348520846
348	0.134616677
349	0.1345462333
350	0.1344063567
351	0.1342526278
352	0.1340539889
353	0.1339009405
354	0.1338089994
355	0.1335878644
356	0.1334222009
357	0.1331975912
358	0.1330208421
359	0.1328331706
360	0.1326248155
361	0.1324370311
362	0.1321904182
363	0.1321546438
364	0.1319762298
365	0.1318156177
366	0.1316186158
367	0.1314298083
368	0.1311713421
369	0.1311188963
370	0.1309888177
371	0.1309797469
372	0.1307763481
373	0.1306291393
374	0.1303830282
375	0.1301780302
376	0.1301706661
377	0.1300917364
378	0.1298646599
379	0.1296985026
380	0.1296899237
381	0.1294458641
382	0.1292475008
383	0.1288994916
384	0.1286430764
385	0.1284891126
386	0.1284770661
387	0.1283362923
388	0.1282078217
389	0.1281165938
390	0.1278565107
391	0.1278232335
392	0.1276096883
393	0.1275248556
394	0.1275079674
395	0.1272593064
396	0.1271657269
397	0.1271216037
398	0.1268942183
399	0.126794219
400	0.1267860214
401	0.126742771
402	0.1267345618
403	0.1264666626
404	0.1262951807
405	0.1262635152
406	0.1261393695
407	0.1260094975
408	0.1259653811
409	0.1259340036
410	0.1256868719
411	0.125654703
412	0.1256471226
413	0.1253899301
414	0.125244463
415	0.1250984834
416	0.1249548724
417	0.1248486669
418	0.1246318759
419	0.1246216005
420	0.1246096621
421	0.124578442
422	0.1244419584
423	0.1244341116
424	0.1243130329
425	0.1243056053
426	0.1240798383
427	0.1238119263
428	0.1238058739
429	0.1235772745
430	0.1235628022
431	0.1235557898
432	0.1234125845
433	0.1233148836
434	0.1232176908
435	0.123003253
436	0.1228985307
437	0.1227686063
438	0.1225536421
439	0.1224149679
440	0.1221959262
441	0.1220249376
442	0.1219517733
443	0.1216623533
444	0.1215846584
445	0.1214033611
446	0.1211905367
447	0.1208991559
448	0.120876771
449	0.1208459912
450	0.1207622266
451	0.1205638472
452	0.1203400744
453	0.1201884541
454	0.1201821489
455	0.1201756038
456	0.1200407888
457	0.1199900881
458	0.1199318881
459	0.1199243486
460	0.1198917216
461	0.1197553578
462	0.1195230098
463	0.1193491968
464	0.1191913096
465	0.1190611466
466	0.1190472901
467	0.1190405377
468	0.1188612117
469	0.118636689
470	0.1184745981
471	0.1183749661
472	0.1182564701
473	0.1181428407
474	0.1180957684
475	0.1179628056
476	0.1175958472
477	0.1175876553
478	0.1174167719
479	0.11721141
480	0.1170353314
481	0.1168138719
482	0.1168046074
483	0.1166611601
484	0.116512926
485	0.1164206265
486	0.116311942
487	0.1162183228
488	0.1162100613
489	0.1160842812
490	0.1159280508
491	0.1157933959
492	0.115785464
493	0.1156727667
494	0.1156233397
495	0.1155067163
496	0.1154687492
497	0.1154128463
498	0.1153079731
499	0.1152572927
500	0.1152516831
501	0.115072769
502	0.114906321
503	0.1148759307
504	0.1148180847
505	0.1146897876
506	0.1146440069
507	0.1145043637
508	0.1144988044
509	0.1143649888
510	0.1142573241
511	0.1141415199
512	0.1139863554
513	0.1138535095
514	0.1138445827
515	0.113707808
516	0.1137007311
517	0.1135819832
518	0.1133945835
519	0.1132685992
520	0.1131395555
521	0.1131213871
522	0.113074636
523	0.1130694101
524	0.1130591325
525	0.11526	0.1172922614
527	0.1172616247
528	0.1171007777
529	0.1170438825
530	0.1169468663
531	0.1169082791
532	0.1168896356
533	0.1168463408
534	0.1167513789
535	0.11535	0.1119876455
536	0.1119448592
537	0.1118700359
538	0.1117632557
539	0.1116188344
540	0.111613309
541	0.1114143991
542	0.111300233
543	0.1111640089
544	0.1111590788
545	0.1109942825
546	0.1109795899
547	0.1108950532
548	0.1107532628
549	0.1106629539
550	0.1106025561
551	0.1104195778
552	0.1102874926
553	0.1102311548
554	0.1101914985
555	0.1100783718
556	0.1100729176
557	0.1100010895
558	0.1099535464
559	0.1098531616
560	0.1097305395
561	0.1096127052
562	0.1095129597
563	0.1095044535
564	0.1093962285
565	0.1092935026
566	0.1091333572
567	0.108966298
568	0.1088824724
569	0.1087808935
570	0.1085352676
571	0.1084958298
572	0.108354986
573	0.1081982066
574	0.1081060347
575	0.1080986523
576	0.1080309709
577	0.1077775603
578	0.1076801242
579	0.1075161702
580	0.1074386439
581	0.1074340309
582	0.1073391966
583	0.1073024248
584	0.107196788
585	0.1071655338
586	0.1070594143
587	0.1069497212
588	0.1069306816
589	0.1067443482
590	0.1066374995
591	0.1065722071
592	0.1065652792
593	0.1064868955
594	0.1064823194
595	0.1064763884
596	0.1064367566
597	0.1062897662
598	0.1062844539
599	0.1060913502
600	0.1059567774
601	0.1058383027
602	0.1058341015
603	0.1057529717
604	0.1056410518
605	0.1055615554
606	0.105482658
607	0.1053458645
608	0.1053014806
609	0.1051740454
610	0.1050804669
611	0.1050769639
612	0.1049746952
613	0.1048817065
614	0.1048765175
615	616	0.1094249923
617	0.109322965
618	0.1093192059
619	0.1093151434
620	0.1091717977
621	0.1090965535
622	0.109042929
623	0.1089501048
624	0.1089444993
625	0.1089118423
626	0.1088102215
627	0.1087993635
628	0.1087323891
629	0.1086975635
630	0.1085776817
631	0.1084431971
632	0.1083492919
633	0.1083401744
634	0.1082147692
635	0.1081163701
636	0.1079446018
637	0.1078382953
638	0.1077236711
639	0.1076474681
640	0.1076434168
641	0.1075153266
642	0.1074704951
643	0.1073567484
644	0.1071929494
645	0.1071280457
646	0.1071191536
647	0.1071088936
648	0.1070737715
649	0.1069629325
650	0.1068199233
651	0.1067595795
652	0.106708824
653	0.1065933716
654	0.1064777796
655	0.1064496373
656	0.1063239273
657	0.10621657	0.1020859037
658	0.1020831063
659	0.1018988387
660	0.661	0.1059488111
662	0.1059191204
663	0.1059157578
664	0.1058688251
665	0.1057127898
666	0.1056439461
667	0.105564046
668	0.1053510937
669	0.1053460426
670	0.1052918355
671	0.1051534882
672	0.1051473326
673	0.1050095588
674	0.1048997539
675	0.10481285
676	0.1046446
677	0.104529989
678	0.1044512147
679	0.1043416653
680	0.1042050680	681	0.1041869681	0.09998828578
682	0.09989648408
683	0.09983971766
684	0.09981818463
685	0.09978678419
686	0.09970864757
687	0.09968015489
688	0.09690	0.1036205329
691	0.1035289346
692	0.1034391272
693	0.1033706128
694	0.10336638
695	0.1032947785
696	0.1032230132
697	0.1031357919
698	0.1031319352
699	0.1029689292
700	0.102811708
701	0.1027443338
702	0.1027017782
703	0.1025478219
704	0702	0.09905480464
703	0.09896108815
704	0.09882826687
705	0.0987989294
706	0.09869780936
707	0.09869412467
708	0.09867499202
709	0.09862769562
710	0713	0.1017858711	0.09846514349
712	0.0983429007
713	0.09821127748
714	0.09817269346
715	0.09813608108
716	0.0981325611
717	0.0981291513
718	0.09807701391
719	0.09789003531
720	0.09788578837
721	0.09781297783
722	0.09775296747
723	0.09763413075
724	0.09757690408
725	0.09748316233
726	0.09748074334
727	0.09740542254
728	0.0732	0.100288424
733	0.1001739654
734	0.1000509045
735	0.1000478401
736	0.09995539253
737	0.09995233765
738	0.0999421139
739	0.09989800146
740	0.09984279021
741	0.09983991115
742	0.09976259664
743	0.09969674029
744	0.09969387871
745	0.09960380887
746	0.09957223619
747	0.09956978991
748	0.09947440757
749	0.09945037548
750	0.09933271914
751	0.09920797641
752	0.09914951288
753	0.09912553386
754	0.09903919058
755	0.09897237796
756	0.09882101138
757	0.09880280322
758	0.09869309923
759	0.09854395183
760	0.09845080407
761	0.09837294391
762	0.09831574157
763	0.09831232977
764	0.09822720147
765	0.09818320314
766	0.09812462841
767	0.09809283454
768	0.09801139462
769	0.09787351093
770	0.09779461495
771	0.09778974132
772	0.09761120427
773	0.09755879217
774	0.09745047284
775	0.09740325033
776	0.09737542795
777	0.09723294335
778	0.09719903155
779	0.09712702438
780	0.09702615632
781	0.09702292358
782	0.09695388663
783	0.09684892086
784	0.0968084633
785	0.09673683727
786	0.09666646299
787	0.09661444549
788	0.09649019555
789	0.09647720814
790	0.09643400471
791	0.09629342666
792	0.09624207251
793	0.09618917303
794	0.09611324093
795	0.0960395374
796	0.09598691846
797	0.09592857238
798	0.09587845016
799	0.09579023554
800	0.09575876895
801	0.09572596257
802	0.0956168449
803	0.09557596426
804	0.09547559176
805	0.09542880789
806	0.09537688924
807	0.09531460527
808	0.09527374835
809	0.0951577739
810	0.09507161704
811	0.09499634419
