Model,R2 Score,Adj R2,MSE (Log),RMSE (Log),MAE (Log),MedAE (Log),MAPE (Log),MAE (Price),RMSE (Price),MAPE (Price),Time (s)
Stacked Generalizer,0.91437656293972,0.8944254708091693,0.030594382815379677,0.17491250045488366,0.13341171280864106,0.10023321276414343,0.012237979814668056,8587.88047881902,14256.097580767007,0.1331440422467329,7.396090269088745
CatBoost,0.9062496286326615,0.8844048819062913,0.03349824357876561,0.18302525393717012,0.14246729957559923,0.11464390570557548,0.013072347571530814,9126.263720535919,14704.378144782679,0.14133157801853177,0.09221196174621582
Random Forest,0.8986496716234619,0.8750340611279579,0.036213808406608074,0.19029926013153092,0.14556610274071868,0.1158463527098128,0.013379043330554561,9135.08432850941,14804.874056768225,0.14487884659100736,0.5993211269378662
XGBoost,0.8983627107096616,0.8746802355352138,0.036316343324047505,0.19056847410851435,0.14295413853178202,0.1098670056725286,0.013121004859636807,9172.714451758578,14971.078086924312,0.1436975623166613,0.08655691146850586
Gradient Boosting,0.8923452707045392,0.8672606735871502,0.038466453964381746,0.19612866686025718,0.15061483754186367,0.11739250157954828,0.013873295281152723,9271.773892627094,15255.294272526806,0.14840917016969737,0.1693887710571289
Extra Trees,0.8863289870064656,0.8598425373769041,0.040616151440964095,0.2015344919386359,0.15050727502631148,0.12363308101241799,0.013847789154511795,9404.976033468974,16098.450053760911,0.1512815285357046,0.4296131134033203
SVR,0.8861053689088898,0.8595668140915438,0.04069605313513297,0.20173262783975468,0.15574996465368626,0.12042151842877935,0.014306217823830271,9722.743804627904,16251.778262531247,0.15329704371163905,0.04653596878051758
Ridge,0.8469416953756569,0.8112776243952274,0.054689749974104064,0.23385839727087857,0.18883002006042696,0.15943354502375584,0.017428427627451597,11650.92116076306,17737.97643221876,0.18910528275345848,0.008387088775634766
Linear Regression,0.8463152139513345,0.8105051667166939,0.05491360004577255,0.23433651027053498,0.18939006681549692,0.16118703125420275,0.017481009360696895,11733.620492210996,18305.468129320805,0.18981653112509797,0.040873050689697266
Lasso,0.8381096139516235,0.8003875822510309,0.0578455690981746,0.2405110581619369,0.19100331045288974,0.15243551788821996,0.01764961342756558,11237.713392580363,16264.984967608312,0.18856209530958776,0.013153076171875
KNN,0.8292454673302638,0.7894580034072185,0.0610128455399578,0.24700778437117685,0.1901140122228262,0.14909370053176474,0.017510125657248746,11545.84774010742,17468.517086762768,0.19101896285637282,0.0014657974243164062
